ano_implantacao;referencia;nome;bairro;local;rpa;quantidade;vagas;latitude;longitude 
2024;P242;Praça na Rua Epaminondas de Melo 02;Paissandu;R. Epaminondas de Melo, s/n - na praça, em frente ao Bradesco Prime;1;2;4;-8.06014; -34.8982 
2024;P243;Praça Cássia Kiss de Lima ;Ilha Joana Bezerra;R. Caetité, 24 - na praça, em frente ao lote 90;1;5;10;-8.07002; -34.90027 
2024;P244;Praça Dom Bosco 01;Ilha do Leite;R. General Joaquim Inácio, S/N - na praça, em frente a Rua General Joaquim Inácio;1;3;6;-8.06315; -34.89349 
2024;P244;Praça Dom Bosco 02;Ilha do Leite;R. General Joaquim Inácio, S/N - na praça, em frente a Rua Joaquim de Brito;1;2;4;-8.06315; -34.89349 
2024;P245;Praça Jenner de Souza ;Derby;R. Amaro Bezerra, S/N - na praça, entre as árvores, na grama;3;5;10;-8.05484; -34.90028 
2024;P246;Praça na Rua Ibiporã ;Ilha Joana Bezerra;R. Ibiporã, S/N - ao lado do equipamento de exercício, em frente a Rua Centenário do Sul;1;5;10;-8.07254; -34.89974 
2024;P247;Praça na Rua Velha ;Boa Vista;R. Velha S/N - na praça, próximo ao poste de iluminação;1;5;10;-8.06453; -34.88532 
2024;P248;Quadra da Praça Joana Bezerra ;Ilha Joana Bezerra;R. S D 9806, 75 - na praça, por trás da quadra da Praça Joana Bezerra;1;5;10;-8.06911; -34.8972 
2024;P249;Rua Imperatriz Tereza Cristina (SECR) ;Boa Vista;R. Imperatriz Tereza Cristina, 67 - na rua, em frente ao Sindicato (SECR);1;5;10;-8.06327; -34.88305 
2024;P250;Igreja de Nossa Senhora das Fronteiras ;Boa Vista;R. Henrique Dias, S/N - na calçada, entre as árvores;1;5;10;-8.05848; -34.89641 
2024;P251;Rua da Palma;Santo Antônio;R. da Palma, 295 - no redesenho, em frente a loja Millena Móveis;1;3;6;-8.06557; -34.88084 
2024;P251;Rua da Palma;Santo Antônio;R. da Palma, 205 - no redesenho, em frente a loja Ponto de Promoção;1;2;4;-8.06557; -34.88084 
2024;P252;Cais do Sertão;Recife;Av. Alfredo Lisboa, 690 - Na parte do gramado do Cais do Sertão;1;5;10;-8.06083; -34.87033 
2024;P253;Museu Forte do Brum;Recife;Av. Militar, 708 - Em frente ao Forte do Brum, na praça comunidade Luso Brasileira.;1;5;10;-8.05339; -34.87097 
2024;P254;Moinho;Recife;Av. Alfredo Lisboa, 810 - Em frente ao prédio da Accenture.;1;5;10;-8.05894; -34.86983 
2024;P255;Píer (Armazém 14);Recife;Av. Alfredo Lisboa, 135 - Píer próximo ao Armazém 14.;1;5;10;-8.06534; -34.87196 
2024;P256;Píer (FriSabor);Recife;Av. Alfredo Lisboa, 242 - Píer próximo ao FriSabor - atrás do ponto policial;1;5;10;-8.06447; -34.87149 
